MammalBland,Common Name,Order,Family,Species Name,Status,States
Seal,Bearded Seal,Carnivora,Phocidae,Erignathus barbatus,Unknown,Alaska
Squirrel,Belding's Ground Squirrel,Rodentia,Sciuridae,Urocitellus beldingi,,"California, Idaho, Nevada, Oregon, Utah"
Beluga,Beluga,Cetacea,,Delphinapterus leucas,Vulnerable,"Alaska, Massachusetts, New York"
Bat,Big Brown Bat,Chiroptera,Vespertilionidae,Eptesicus fuscus,Lower Risk (lc),"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Bat,Big Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops macrotis,Lower risk (lc),"Arizona, California, Colorado, Iowa, Kansas, New Mexico, Nevada, Oklahoma, Texas, Utah"
Sheep,Bighorn Sheep,Artiodactyla,Bovidae,Ovis canadensis,Common in historic range,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Bear,Black Bear,Carnivora,Ursidae,Ursus americanus,Common,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Florida, Georgia, Idaho, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, New Mexico, Nevada, New York, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Ferret,Black-footed Ferret,Carnivora,Mustelidae,Mustela nigripes,Endangered,"Kansas, Montana, Wyoming"
Jackrabbit,Black-tailed Jackrabbit,Lagomorpha,Leporidae,Lepus californicus,Lower risk,"Arkansas, Arizona, California, Colorado, Iowa, Idaho, Kansas, Louisiana, Missouri, Montana, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Dog,Black-tailed Prairie Dog,Rodentia,Sciuridae,Cynomys ludovicianus,Decreasing,"Arizona, Colorado, Kansas, Montana, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
