MammalBland,Common Name,Order,Family,Species Name,Status,States
Skunk,Eastern Hog-nosed Skunk,Carnivora,Mephitidae,Conepatus leuconotus,Threatened,"Arizona, Colorado, New Mexico, Texas"
Mole,Eastern Mole,Soricomorpha,Talpidae,Scalopus aquaticus,Least concern,"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Pipistrelle,Eastern Pipistrelle,Chiroptera,Vespertilionidae,Perimyotis subflavus,Lower Risk (lc),"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Bat,Eastern Red Bat,Chiroptera,Vespertilionidae,Lasiurus borealis,Lower Risk (lc),"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Myotis,Eastern Small-footed Myotis,Chiroptera,Vespertilionidae,Myotis leibii,Lower Risk (lc),"Alabama, Connecticut, Delaware, Georgia, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Mississippi, Missouri, North Carolina, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, West Virginia"
Skunk,Eastern Spotted Skunk,Carnivora,Mephitidae,Spilogale putorius,Unknown,"Alabama, Arkansas, Colorado, Florida, Georgia, Iowa, Kansas, Kentucky, Louisiana, Maryland, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Woodrat,Eastern Woodrat,Rodentia,Cricetidae,Neotoma floridana,"U.S ESA - Endangered as N. f. smalli; IUCN - Endangered as N. f. smalli, Lower Risk (nt) as N. f. baileyi and N. f. haematoreia, otherwise Lower Risk (lc)","Alabama, Colorado, Florida, Georgia, Illinois, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New York, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wyoming"
Elk,Elk,Artiodactyla,Cervidae,Cervus elaphus,Common,"Arkansas, Arizona, California, Colorado, Idaho, Kansas, Michigan, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Shrew,Elliot's Short-tailed Shrew,Soricomorpha,Soricidae,Blarina hylophaga,Least concern,"Arkansas, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Nebraska, Oklahoma, Texas"
Weasel,Ermine or Short-tailed Weasel,Carnivora,Mustelidae,Mustela erminea,Common,"Alaska, California, Colorado, Connecticut, Delaware, Iowa, Idaho, Illinois, Indiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Dakota, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Hare,European Hare,Lagomorpha,Leporidae,Lepus europaeus,Lower Risk; reevaluation likely to place it in a &quot;threatened&quot; category.,"Connecticut, New York"
Bat,Evening Bat,Chiroptera,Vespertilionidae,Nycticeius humeralis,Lower Risk (lc),"Alabama, Arkansas, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Michigan, Mississippi, Missouri, North Carolina, Nebraska, New Jersey, Ohio, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Shrew,Everglades Short-tailed Shrew,Soricomorpha,Soricidae,Blarina penninsulae,,Florida
Whale,False Killer Whale,Cetacea,Delphinidae,Pseudorca crassidens,Lower Risk,"Alabama, California, Delaware, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, Oregon, South Carolina, Texas, Washington"
Whale,Fin Whale,Cetacea,Balaenopteridae,Balaenoptera physalus,Endangered,"Alaska, Alabama, California, Connecticut, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Fisher,Fisher,Carnivora,Mustelidae,Martes pennanti,Common,"Alaska, California, Connecticut, Idaho, Massachusetts, Maine, Michigan, Minnesota, Montana, New Hampshire, New York, Oregon, Pennsylvania, Vermont, Washington, Wisconsin"
Deermouse,Florida Deermouse,Rodentia,Cricetidae,Podomys floridanus,Vulnerable. Considered threatened by Florida agencies due to disappearance of scrub habitat,Florida
Shrew,Fog Shrew,Soricomorpha,Soricidae,Sorex sonomae,Least concern,"California, Oregon"
Squirrel,Franklin's Ground Squirrel,Rodentia,Sciuridae,Poliocitellus franklinii,,"Iowa, Illinois, Indiana, Kansas, Michigan, Minnesota, Missouri, North Dakota, Nebraska, South Dakota, Wisconsin"
Myotis,Fringed Myotis,Chiroptera,Vespertilionidae,Myotis thysanodes,Lower Risk (lc),"Arizona, California, Colorado, Idaho, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Mouse,Fulvous Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys fulvescens,Lower Risk,"Arizona, Kansas, Louisiana, Mississippi, New Mexico, Oklahoma, Texas"
Whale,Gervais's Beaked Whale,Cetacea,,Mesoplodon europaeus,Data deficient,"Alabama, Delaware, Florida, Georgia, Louisiana, Maryland, Mississippi, North Carolina, New Jersey, New York, South Carolina, Texas, Virginia"
Rat,Giant Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys ingens,U.S. ESA Endangered; California Dept. of Fish and Game Ð Endangered. Extirpated over much of its original range.,California
Whale,Ginkgo-toothed Beaked Whale,Cetacea,,Mesoplodon ginkgodens,Data deficient,California
Shrew,Glacier Bay Water Shrew,Soricomorpha,Soricidae,Sorex alaskanus,Least concern,Alaska
Mouse,Golden Mouse,Rodentia,Cricetidae,Ochrotomys nuttalli,Lower Risk,"Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Squirrel,Golden-mantled Ground Squirrel,Rodentia,Sciuridae,Callospermophilus lateralis,,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Fox,Gray Fox,Carnivora,Canidae,Urocyon cinereoargenteus,Common,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
Myotis,Gray Myotis,Chiroptera,Vespertilionidae,Myotis grisescens,Endangered,"Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Mississippi, Missouri, North Carolina, Ohio, South Carolina, Tennessee, Virginia, West Virginia"
Seal,Gray Seal,Carnivora,Phocidae,Halichoerus grypus,Increasing,Massachusetts
Whale,Gray Whale,Cetacea,Eschrichtiidae,Eschrichtius robustus,"U.S. ESA - Endangered, except for Eastern North Pacific Ocean - coastal and Bering, Beaufort and Chukchi Seas populations which are Delisted Taxa; IUCN - Critically Endangered in Northwest Pacific, otherwise Lower Risk","Alaska, California, Oregon, Washington"
Chipmunk,Gray-collared Chipmunk,Rodentia,Sciuridae,Tamias cinereicollis,,"Arizona, New Mexico"
Chipmunk,Gray-footed Chipmunk,Rodentia,Sciuridae,Tamias canipes,Lower Risk,"New Mexico, Texas"
Vole,Gray-tailed Vole,Rodentia,Cricetidae,Microtus canicaudus,Lower Risk,"Oregon, Washington"
Mouse,Great Basin Pocket Mouse,Rodentia,Heteromyidae,Perognathus parvus,,"Arizona, California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Bat,Greater Bonneted Bat,Chiroptera,Molossidae,Eumops perotis,Lower Risk (lc),"Arizona, California, New Mexico, Nevada, Texas"
Wolf,Grey Wolf,Carnivora,Canidae,Canis lupus,"Endangered in most states, recovering in others","Alaska, Idaho, Michigan, Minnesota, Montana, Washington, Wisconsin"
Seal,Guadalupe Fur Seal,Carnivora,Otariidae,Arctocephalus townsendi,Vulnerable or threatened,California
Rat,Gulf Coast Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys compactus,,Texas
Dog,Gunnison's Prairie Dog,Rodentia,Sciuridae,Cynomys gunnisoni,Decreasing,"Arizona, Colorado, New Mexico, Utah"
Bat,Hairy-legged Vampire Bat,Chiroptera,Phyllostomidae,Diphylla ecaudata,Lower Risk (nt),Texas
Mole,Hairy-tailed Mole,Soricomorpha,Talpidae,Parascalops breweri,Least concern,"Connecticut, Delaware, Georgia, Kentucky, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, West Virginia"
Porpoise,Harbor Porpoise,Cetacea,Phocoenidae,Phocoena phocoena,Vulnerable,"Alaska, California, Connecticut, Delaware, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, Virginia, Washington"
Seal,Harbor Seal,Carnivora,Phocidae,Phoca vitulina,Common,"Alaska, California, Connecticut, Delaware, Massachusetts, Maine, New Hampshire, New Jersey, New York, Oregon, Rhode Island, Washington"
Squirrel,Harris' Antelope Ground Squirrel,Rodentia,Sciuridae,Ammospermophilus harrisii,,"Arizona, California, New Mexico, Nevada"
Seal,Hawaiian Monk Seal,Carnivora,Phocidae,Monachus schauinslandi,,Hawaii
Cattle,Hawaiian Wild Cattle,Artiodactyla,Bovidae,Bos taurus,,Hawaii
Rat,Heermann's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys heermanni,Listed by U.S. ESA and California Dept. of Fish and Game Ð Endangered as D. h. morroensis; U.S. ESA Ð Presumed Extinct as D. h. berkleyensis [sic].,California
Rat,Hispid Cotton Rat,Rodentia,Cricetidae,Sigmodon hispidus,"Lower Risk (nt) as S. h. eremicus and S. h. insulicola, otherwise Lower Risk (lc)","Alabama, Arkansas, Arizona, California, Colorado, Florida, Georgia, Iowa, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New Mexico, Oklahoma, South Carolina, Tennessee, Texas, Virginia"
Mouse,Hispid Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus hispidus,,"Arizona, Colorado, Kansas, Louisiana, Montana, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
Bat,Hoary Bat,Chiroptera,Vespertilionidae,Lasiurus cinereus,Lower Risk (lc),"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Marmot,Hoary Marmot,Rodentia,Sciuridae,Marmota caligata,,"Alaska, Idaho, Montana, Washington"
Skunk,Hooded Skunk,Carnivora,Mephitidae,Mephitis macroura,Uncommon,"Arizona, New Mexico, Texas"
Chipmunk,Hopi Chipmunk,Rodentia,Sciuridae,Tamias rufus,,"Arizona, Colorado, New Mexico, Utah"
Mouse,House Mouse,Rodentia,Muridae,Mus musculus,Lower risk,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Whale,Hubb's Beaked Whale,Cetacea,,Mesoplodon carlhubbsi,Data deficient,"California, Oregon, Washington"
Whale,Humpback Whale,Cetacea,Balaenopteridae,Megaptera novaeangliae,U.S. ESA - Endangered; IUCN - Vulnerable,"Alaska, California, Connecticut, Florida, Hawaii, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, Texas, Virginia, Washington"
Squirrel,Idaho Ground Squirrel,Rodentia,Sciuridae,Urocitellus brunneus,U.b.brunneus critically endangered; U.b.endemicus vulnerable,Idaho
Gopher,Idaho Pocket Gopher,Rodentia,Geomyidae,Thomomys idahoensis,Lowered Risk as T. idahoensis and as T. i. Confinus.,"Idaho, Montana, Wyoming"
Mongoose,Indian Mongoose,,,Herpestes javanicus,,Hawaii
Myotis,Indiana Myotis,Chiroptera,Vespertilionidae,Myotis sodalis,Endangered,"Alabama, Arkansas, Connecticut, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, West Virginia"
Vole,Insular Vole,Rodentia,Cricetidae,Microtus abbreviatus,Data deficient,Alaska
Shrew,Inyo Shrew,Soricomorpha,Soricidae,Sorex tenellus,Least concern,"California, Nevada"
Jaguar,Jaguar,Carnivora,Felidae,Panthera onca,Endangered in US,"Arizona, New Mexico"
Jaguarundi,Jaguarundi,Carnivora,Felidae,Puma yagouaroundi,"Widespread but rare, threatened in Mexico.","Arizona, Texas"
Bat,Jamaican Fruit-eating Bat,Chiroptera,Phyllostomidae,Artibeus jamaicensis,Lower Risk (lc),Florida
Myotis,Keen's Myotis,Chiroptera,Vespertilionidae,Myotis keenii,Lower Risk (lc),"Alaska, Washington"
Whale,Killer Whale,Cetacea,Delphinidae,Orcinus orca,Lower Risk,"Alaska, Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Fox,Kit Fox,Carnivora,Canidae,Vulpes macrotis,Common,"Arizona, California, Idaho, New Mexico, Nevada, Oregon, Texas, Utah"
Gopher,Knox Jones's Pocket Gopher,Rodentia,Geomyidae,Geomys knoxjonesi,,"New Mexico, Texas"
Chipmunk,Least Chipmunk,Rodentia,Sciuridae,Tamias minimus,,"Arizona, California, Colorado, Idaho, Michigan, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, Utah, Washington, Wisconsin, Wyoming"
Weasel,Least Weasel,Carnivora,Mustelidae,Mustela nivalis,Common,"Alaska, Colorado, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Maryland, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, Ohio, Pennsylvania, South Carolina, South Dakota, Tennessee, Virginia, Wisconsin, West Virginia"
shrew,Least shrew,Soricomorpha,Soricidae,Cryptotis parva,Least concern,"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Bat,Lesser Long-nosed Bat,Chiroptera,Phyllostomidae,Leptonycteris yerbabuenae,Not evaluated,"Arizona, New Mexico"
Myotis,Little Brown Myotis,Chiroptera,Vespertilionidae,Myotis lucifugus,Lower Risk (lc),"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Mouse,Little Pocket Mouse,Rodentia,Heteromyidae,Perognathus longimembris,U.S. ESA Ð Endangered as P. l. pacificus.,"Arizona, California, Idaho, Nevada, Oregon, Utah"
Chipmunk,Lodgepole Chipmunk,Rodentia,Sciuridae,Tamias speciosus,Lower Risk,"California, Nevada"
Dolphin,Long-beaked Common Dolphin,Cetacea,Delphinidae,Delphinus capensis,Lower Risk,California
Chipmunk,Long-eared Chipmunk,Rodentia,Sciuridae,Tamias quadrimaculatus,Lower Risk,"California, Nevada"
Myotis,Long-eared Myotis,Chiroptera,Vespertilionidae,Myotis evotis,Lower Risk (lc),"Arizona, California, Colorado, Idaho, Montana, North Dakota, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Whale,Long-finned Pilot Whale,Cetacea,Delphinidae,Globicephala melas,Lower Risk,"Connecticut, Delaware, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Rhode Island, Virginia"
Myotis,Long-legged Myotis,Chiroptera,Vespertilionidae,Myotis volans,Lower Risk (lc),"Alaska, Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Mouse,Long-tailed Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus formosus,,"Arizona, California, Nevada, Utah"
Shrew,Long-tailed Shrew,Soricomorpha,Soricidae,Sorex dispar,Least concern,"Connecticut, Kentucky, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Tennessee, Virginia, Vermont, West Virginia"
Vole,Long-tailed Vole,Rodentia,Cricetidae,Microtus longicaudus,"Data Deficient as M. l. bernardinus, M. l. coronarius, and M. l. leucophaeus, otherwise Lower Risk","Alaska, Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Weasel,Long-tailed Weasel,Carnivora,Mustelidae,Mustela frenata,Common,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Rabbit,Marsh Rabbit,Lagomorpha,Leporidae,Sylvilagus palustris,Endangered,"Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia"
Rat,Marsh Rice Rat,Rodentia,Cricetidae,Oryzomys palustris,,"Alabama, Arkansas, Delaware, Florida, Georgia, Illinois, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, New Jersey, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Virginia"
Shrew,Marsh Shrew,Soricomorpha,Soricidae,Sorex bendirii,Least concern,"California, Oregon, Washington"
Shrew,Masked Shrew,Soricomorpha,Soricidae,Sorex cinereus,Least concern,"Alaska, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Mouse,Meadow Jumping Mouse,Rodentia,Dipodidae,Zapus hudsonius,"US ESA - Threatened as Z. h. preblei; IUNC - Endangered as Z. h. preblei, Vulnerable as Z. h. campestris, Lower Risk (nt) as Z. h. luteus, otherwise Lower Risk (lc).","Alaska, Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Vole,Meadow Vole,Rodentia,Cricetidae,Microtus pennsylvanicus,"U.S. ESA - Endangered as M. p. dukecampbelli; IUCN - Vulnerable as M. p. dukecampbelli, Lower Risk (nt) as M. p. admiraltiae, M. p. kincaidi, M. p. provectus and M. p. shattucki, not evaluated as M. p. chihuahuensis, otherwise Lower Risk (lc)","Alaska, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Whale,Melon-headed Whale,Cetacea,Delphinidae,Peponocephala electra,Lower Risk,Hawaii
Chipmunk,Merriam's Chipmunk,,,Tamias merriami,Least concern,California
Deermouse,Merriam's Deermouse,Rodentia,Cricetidae,Peromyscus merriami,Lower Risk,Arizona
Squirrel,Merriam's Ground Squirrel,Rodentia,Sciuridae,Urocitellus canus,,"California, Idaho, Nevada, Oregon, Utah"
Rat,Merriam's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys merriami,,"Arizona, California, New Mexico, Nevada, Texas"
Mouse,Merriam's Pocket Mouse,Rodentia,Heteromyidae,Perognathus merriami,,"New Mexico, Oklahoma, Texas"
Shrew,Merriam's Shrew,Soricomorpha,Soricidae,Sorex merriami,Least concern,"Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Squirrel,Mexican Ground Squirrel,Rodentia,Sciuridae,Ictidomys mexicanus,Lower Risk,"New Mexico, Texas"
Bat,Mexican Long-nosed Bat,Chiroptera,Phyllostomidae,Leptonycteris nivalis,Endangered,"Arizona, New Mexico, Texas"
Bat,Mexican Long-tongued Bat,Chiroptera,Phyllostomidae,Choeronycteris mexicana,Lower Risk (nt),"Arizona, California, New Mexico, Texas"
Squirrel,Mexican Red Bellied Squirrel,Rodentia,Sciuridae,Sciurus nayaritensis,AZ USFS sensitive,"Arizona, New Mexico"
Mouse,Mexican Spiny Pocket Mouse,Rodentia,Heteromyidae,Liomys irroratus,,Texas
Vole,Mexican Vole,Rodentia,Cricetidae,Microtus mogollonensis,U.S. ESA and IUCN - Endangered as M. m. hualpaienses; IUCN - Vulnerable as M. mexicanus and M. mongollonensis hualpaiensis,"Arizona, Colorado, New Mexico, Utah"
Woodrat,Mexican Woodrat,Rodentia,Cricetidae,Neotoma mexicana,Lower Risk,"Arizona, Colorado, New Mexico, Oklahoma, Texas, Utah"
Squirrel,Mohave Ground Squirrel,Rodentia,Sciuridae,Xerospermophilus mohavensis,Vulnerable,California
Vole,Montane Vole,Rodentia,Cricetidae,Microtus montanus,"Data Deficient as M. m. codiensis and M. m. zygomaticus, Vulnerable as M. m. fucosus and M. m. nevadensis, Lower Risk (nt) as M. m. arizonensis and M. m. rivularis, otherwise Lower Risk (lc)","Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Moose,Moose,Artiodactyla,Cervidae,Alces americanus,Common within its range,"Alaska, Idaho, Massachusetts, Maine, Michigan, Minnesota, Montana, North Dakota, New Hampshire, New York, Oregon, Utah, Vermont, Washington, Wisconsin, Wyoming"
Beaver,Mountain Beaver,Rodentia,Aplodontidae,Aplodontia rufa,common,"California, Nevada, Oregon, Washington"
Cottontail,Mountain Cottontail,Lagomorpha,Leporidae,Sylvilagus nuttallii,Lower Risk,"Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Goat,Mountain Goat,Artiodactyla,Bovidae,Oreamnos americanus,Stable in suitable habitat,"Alaska, Idaho, Montana, Washington"
Cougar,"Mountain Lion, Puma, or Cougar",Carnivora,Felidae,Puma concolor,"Stable in the western, Endangered in Florida.","Alaska, Arizona, California, Colorado, Florida, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Gopher,Mountain Pocket Gopher,Rodentia,Geomyidae,Thomomys monticola,Lower risk,"California, Nevada"
Shrew,Mt. Lyell Shrew,Soricomorpha,Soricidae,Sorex lyelli,Least concern,California
Deer,Mule Deer,Artiodactyla,Cervidae,Odocoileus hemionus,Common,"Alaska, Arizona, California, Colorado, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Muskox,Muskox,Artiodactyla,Bovidae,Ovibos moschatus,Increasing and expanding,Alaska
Rat,Narrow-faced Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys venustus,,California
Lemming,Nearctic Brown Lemming,Rodentia,Cricetidae,Lemmus trimucronatus,,Alaska
Lemming,Nearctic Collared Lemming,Rodentia,Cricetidae,Dicrostonyx groenlandicus,"Lower Risk as D. groenlandicus, K. kilangmiutak, and D. rubricatus",Alaska
Squirrel,Nelson's Antelope Squirrel,Rodentia,Sciuridae,Ammospermophilus nelsoni,Endangered,California
Lemming,Nelson's Collared Lemming,Rodentia,Cricetidae,Dicrostonyx nelsoni,"Data Deficient as D. exsul, Lower Risk (lc) as D. nelsoni",Alaska
Mouse,Nelson's Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus nelsoni,,"New Mexico, Texas"
Cottontail,New England Cottontail,Lagomorpha,Leporidae,Sylvilagus transitionalis,Vulnerable,"Connecticut, Massachusetts, Maine, New Hampshire, New York, Rhode Island, Vermont"
Shrew,New Mexico Shrew,Soricomorpha,Soricidae,Sorex neomexicanus,Data deficient,New Mexico
